Unit 271 -> (tensor(0.9888, device='cuda:0', dtype=torch.float16), 1.8779296875)
Unit 272 -> (tensor(0.9458, device='cuda:0', dtype=torch.float16), 0.041015625)
Unit 273 -> (tensor(0.9834, device='cuda:0', dtype=torch.float16), 1.75341796875)
Unit 274 -> (tensor(0.9575, device='cuda:0', dtype=torch.float16), 1.96044921875)
Unit 275 -> (tensor(0.9873, device='cuda:0', dtype=torch.float16), 1.9794921875)
Unit 276 -> (tensor(0.1747, device='cuda:0', dtype=torch.float16), 0.7928466796875)
Unit 277 -> (tensor(0.9785, device='cuda:0', dtype=torch.float16), 1.90185546875)
Unit 278 -> (tensor(0.6426, device='cuda:0', dtype=torch.float16), 1.410888671875)
Unit 279 -> (tensor(0.9775, device='cuda:0', dtype=torch.float16), 0.23583984375)
Unit 280 -> (tensor(0.9697, device='cuda:0', dtype=torch.float16), 0.03076171875)
Unit 281 -> (tensor(0.9673, device='cuda:0', dtype=torch.float16), 1.8544921875)
Unit 282 -> (tensor(0.9736, device='cuda:0', dtype=torch.float16), 0.02099609375)
Unit 283 -> (tensor(0.9395, device='cuda:0', dtype=torch.float16), 0.103515625)
Unit 284 -> (tensor(0.9795, device='cuda:0', dtype=torch.float16), 1.9345703125)
Unit 285 -> (tensor(0.9893, device='cuda:0', dtype=torch.float16), 0.162109375)
Unit 286 -> (tensor(0.9976, device='cuda:0', dtype=torch.float16), 0.541748046875)
Unit 287 -> (tensor(0.9956, device='cuda:0', dtype=torch.float16), 0.384765625)
Unit 288 -> (tensor(0.9395, device='cuda:0', dtype=torch.float16), 0.03125)
Unit 289 -> (tensor(0.9932, device='cuda:0', dtype=torch.float16), 1.72265625)
Unit 290 -> (tensor(0.9805, device='cuda:0', dtype=torch.float16), 1.9501953125)
Unit 291 -> (tensor(0.9819, device='cuda:0', dtype=torch.float16), 1.81884765625)
Unit 292 -> (tensor(0.8711, device='cuda:0', dtype=torch.float16), 1.99072265625)
Unit 293 -> (tensor(0.9795, device='cuda:0', dtype=torch.float16), 0.01806640625)
Unit 294 -> (tensor(0.0526, device='cuda:0', dtype=torch.float16), 1.296142578125)
Unit 295 -> (tensor(0.9849, device='cuda:0', dtype=torch.float16), 0.26220703125)
Unit 296 -> (tensor(0.9897, device='cuda:0', dtype=torch.float16), 0.519775390625)
Unit 297 -> (tensor(0., device='cuda:0', dtype=torch.float16), nan)
Unit 298 -> (tensor(0.9424, device='cuda:0', dtype=torch.float16), 1.93994140625)
Unit 299 -> (tensor(0.9609, device='cuda:0', dtype=torch.float16), 1.97802734375)
Unit 300 -> (tensor(0.7568, device='cuda:0', dtype=torch.float16), 0.025390625)
Unit 301 -> (tensor(0.9961, device='cuda:0', dtype=torch.float16), 1.8955078125)
Unit 302 -> (tensor(0.1926, device='cuda:0', dtype=torch.float16), 0.8909912109375)
Unit 303 -> (tensor(0.9727, device='cuda:0', dtype=torch.float16), 0.04833984375)
Unit 304 -> (tensor(0.9980, device='cuda:0', dtype=torch.float16), 1.6806640625)
Unit 305 -> (tensor(0.9819, device='cuda:0', dtype=torch.float16), 1.8818359375)
Unit 306 -> (tensor(0.9966, device='cuda:0', dtype=torch.float16), 0.811279296875)
Unit 307 -> (tensor(0.9854, device='cuda:0', dtype=torch.float16), 0.02294921875)
Unit 308 -> (tensor(0.9707, device='cuda:0', dtype=torch.float16), 0.0625)
Unit 309 -> (tensor(0., device='cuda:0', dtype=torch.float16), nan)
Unit 310 -> (tensor(0.9604, device='cuda:0', dtype=torch.float16), 0.0556640625)
Unit 311 -> (tensor(0.9741, device='cuda:0', dtype=torch.float16), 0.06591796875)
Unit 312 -> (tensor(0.9146, device='cuda:0', dtype=torch.float16), 0.04296875)
Unit 313 -> (tensor(0.9854, device='cuda:0', dtype=torch.float16), 0.42138671875)
